ID;PRODUCTO;N;P;K;Ca;Mg;Fe;Zn;Mn;B;Mo;Cu;Si;S
1;NITRA-n;0,170;;;;;;;;;;;;
2;Triple-20-n;0,210;0,200;0,230;;;;;;;;;;
3;Micro-n;;;;;;0,080;0,015;0,015;0,005;0,005;0,005;;0,070
4;NPK 12-12-36;0,120;0,120;0,360;;;;;;;;;;
5;Kn32;0,060;;0,330;;;;;;;;;;
6;Fosfo-n;0,100;0,300;;;;;;;;;;;
7;Iro-n;;;;;;0,090;;;;;;;
8;Nano Zinc;;;;;;;0,120;;;;;;
9;Boro-n;;;;;;;;;0,090;;;;
10;Calcio-n;;;;0,070;;;;;;;;;
11;Magno-n;;;;;0,070;;;;;;;;0,070
12;Silico-n;;;;;;;;;;;;0,030;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DESCRIPCIÓN;CANTIDAD;N;P;K;Ca;Mg;Fe;Zn;Mn;B;Mo;Cu;Si;S
NITRA-n;8;1,360;;;;;;;;;;;;
Triple-20-n;4;0,840;0,800;0,920;;;;;;;;;;
Micro-n;1;;;;;;0,080;0,015;0,015;0,005;0,005;0,005;;0,070
NPK 12-12-36;1;0,120;0,120;0,360;;;;;;;;;;
Kn32;0;;;0,000;;;;;;;;;;
Fosfo-n;0;;0,000;;;;;;;;;;;
Iro-n;0,25;;;;;;0,023;;;;;;;
Nano Zinc;0;;;;;;;0,000;;;;;;
Boro-n;0,1;;;;;;;;;0,009;;;;
Calcio-n;0,5;;;;0,035;;;;;;;;;
Magno-n;0,25;;;;;0,018;;;;;;;;0,018
Silico-n;0,25;;;;;;;;;;;;0,008;
;;;;;;;;;;;;;;
TOTAL;15,35;2,320;0,9;1,280;0,035;0,018;0,103;0,015;0,015;0,014;0,005;0,005;0,008;0,088
;;;;;;;;;;;;;;
GRADO;;15,11%;5,99%;8,34%;0,23%;0,11%;0,67%;0,10%;0,10%;0,09%;0,03%;0,03%;0,05%;0,57%
