ID;Fecha;Finca;Potrero;Area;Energia;Proteína;Aforo;Descanso;Pastoreo
1;28-Nov-22;Las Mercedes;28;14800;5,27;17,93;1,49;;Pastoreo 1
2;28-Nov-22;Las Mercedes;26;8700;4,73;13,58;0,97;;Pastoreo 1
3;09-Dez-22;Las Mercedes;25;9800;4,97;15,54;1,23;;Pastoreo 1
4;09-Dez-22;Las Mercedes;28;14800;4,64;12,81;;;Pastoreo 2
5;09-Dez-22;Las Mercedes;26;8700;5,07;16,34;1,28;;Pastoreo 1
6;14-Dez-22;Las Mercedes;25;9800;5,52;19,94;1,63;;Pastoreo 1
7;14-Dez-22;Las Mercedes;28;14800;5,04;16,07;;;Pastoreo 2
8;14-Dez-22;Las Mercedes;26;8700;5,25;17,75;1,41;;Pastoreo 1
9;22-Dez-22;Las Mercedes;25;9800;4,76;13,85;0,9;;Pastoreo 2
10;22-Dez-22;Las Mercedes;28;14800;5,51;19,85;;;Pastoreo 2
11;22-Dez-22;Las Mercedes;26;8700;4,65;12,94;0,88;;Pastoreo 2
12;26-Dez-22;Las Mercedes;25;9800;5,18;17,18;1,35;;Pastoreo 2
13;26-Dez-22;Las Mercedes;28;14800;5,27;17,93;;;Pastoreo 2
14;26-Dez-22;Las Mercedes;26;8700;4,9;14,93;1,12;;Pastoreo 2
15;29-Dez-22;Las Mercedes;25;9800;5,27;17,95;;;Pastoreo 2
16;29-Dez-22;Las Mercedes;28;14800;5,09;16,46;;;Pastoreo 2
17;29-Dez-22;Las Mercedes;26;8700;5,01;16,57;1,06;;Pastoreo 2
18;02-Jan-23;Las Mercedes;25;9800;5,39;18,86;1,54;;Pastoreo 3
19;02-Jan-23;Las Mercedes;28;14800;4,69;13,23;;;Pastoreo 3
20;02-Jan-23;Las Mercedes;26;8700;5,07;16,31;1,25;;Pastoreo 2
21;04-Jan-23;Las Mercedes;28;14800;4,35;10,52;;;Pastoreo 3
22;04-Jan-23;Las Mercedes;26;8700;4,76;13,83;0,92;;Pastoreo 2
23;10-Jan-23;Las Mercedes;25;9800;5,03;15,95;1,48;;Pastoreo 3
24;10-Jan-23;Las Mercedes;28;14800;5,04;16,04;;;Pastoreo 3
25;10-Jan-23;Las Mercedes;26;8700;4,79;14,1;1,02;;Pastoreo 2
26;19-Jan-23;Las Mercedes;25;9800;5,17;17,11;1,36;;Pastoreo 3
27;19-Jan-23;Las Mercedes;28;14800;5,2;17,04;;;Pastoreo 3
28;19-Jan-23;Las Mercedes;26;8700;4,93;15,19;1,17;;Pastoreo 3
29;23-Jan-23;Las Mercedes;26;8700;4,99;15,71;;;Pastoreo 3
30;24-Jan-23;Las Mercedes;25;9800;5,3;18,19;1,33;;Pastoreo 3
31;24-Jan-23;Las Mercedes;28;14800;5,3;18,19;;;Pastoreo 4
32;25-Jan-23;Las Mercedes;25;9800;5,4;18,98;1,47;;Pastoreo 3
33;25-Jan-23;Las Mercedes;28;14800;4,62;12,69;;;Pastoreo 4
34;30-Jan-23;Las Mercedes;25;9800;5,31;18,13;1,45;;Pastoreo 3
35;08-Feb-23;Las Mercedes;26;9800;4,56;12,21;;;Pastoreo 3
